n,exp_n,loss
2,1,2.68E-05
2,2,2.74E-05
2,3,2.40E-05
2,4,2.35E-05
2,5,2.35E-05
2,6,2.45E-05
2,7,2.28E-05
2,8,2.52E-05
2,9,2.64E-05
2,10,2.34E-05
2,11,2.65E-05
2,12,2.32E-05
2,13,2.34E-05
2,14,2.17E-05
2,15,2.68E-05
2,16,2.62E-05
2,17,2.70E-05
2,18,2.87E-05
2,19,2.92E-05
2,20,3.28E-05
2,21,2.61E-05
2,22,2.36E-05
2,23,2.41E-05
2,24,2.49E-05
2,25,2.74E-05
2,26,2.40E-05
2,27,2.30E-05
2,28,2.46E-05
2,29,2.57E-05
2,30,2.46E-05
,,2.54E-05
