n,exp_n,loss
3,1,1.03E-05
3,2,1.01E-05
3,3,1.04E-05
3,4,1.41E-05
3,5,1.88E-05
3,6,4.84E-06
3,7,1.02E-05
3,8,8.26E-06
3,9,1.42E-05
3,10,7.53E-06
3,11,6.88E-06
3,12,8.96E-06
3,13,1.01E-05
3,14,9.40E-06
3,15,2.11E-05
3,16,1.41E-05
3,17,3.23E-06
3,18,7.27E-06
3,19,7.71E-06
3,20,1.18E-05
3,21,8.17E-06
3,22,8.94E-06
3,23,1.15E-05
3,24,1.63E-05
3,25,7.37E-06
3,26,1.82E-05
3,27,9.38E-06
3,28,1.69E-05
3,29,7.02E-06
3,30,1.61E-05
,,1.10E-05
