n,exp_n,loss
5,1,5.21E-06
5,2,8.57E-06
5,3,3.95E-06
5,4,6.81E-06
5,5,5.84E-06
5,6,4.02E-06
5,7,5.34E-06
5,8,4.64E-06
5,9,4.47E-06
5,10,1.01E-05
5,11,4.04E-06
5,12,3.87E-06
5,13,5.73E-06
5,14,4.03E-06
5,15,6.09E-06
5,16,4.73E-06
5,17,5.24E-06
5,18,4.67E-06
5,19,7.20E-06
5,20,2.94E-06
5,21,1.19E-05
5,22,4.41E-06
5,23,3.75E-06
5,24,5.97E-06
5,25,7.96E-06
5,26,5.64E-06
5,27,9.15E-06
5,28,1.11E-05
5,29,3.47E-06
5,30,9.79E-06
,,6.02E-06
