n,exp_n,loss
4,1,8.40E-06
4,2,5.06E-06
4,3,6.04E-06
4,4,5.74E-06
4,5,1.19E-05
4,6,9.75E-06
4,7,4.96E-06
4,8,4.52E-06
4,9,8.41E-06
4,10,5.81E-06
4,11,4.06E-06
4,12,5.06E-06
4,13,6.63E-06
4,14,4.38E-06
4,15,1.52E-05
4,16,2.99E-06
4,17,1.14E-05
4,18,5.33E-06
4,19,9.24E-06
4,20,1.09E-05
4,21,1.24E-05
4,22,7.89E-06
4,23,4.70E-06
4,24,4.58E-06
4,25,5.49E-06
4,26,1.37E-05
4,27,5.05E-06
4,28,5.55E-06
4,29,5.76E-06
4,30,1.20E-05
,,7.43E-06
