PA,2,4,w1,w2
Index,d,SE,1,2
0,0,0,0,0
1,1,1,1,0
2,2,1,0,-1
3,3,1,-1,0
	,TSE,3
	,MSE,0.375
	,PSNR,52.390490931401914
